,Token_ID,Token_Name,In_Doc_Corpus
12046,12046,people,27
18488,18488,ve,27
6010,6010,hear,27
2145,2145,clinical,27
4197,4197,end,27
17744,17744,time,27
13941,13941,research,27
15967,15967,start,27
19903,19903,yes,27
19025,19025,way,27
7484,7484,just,27
17235,17235,think,27
3646,3646,don,27
19850,19850,year,27
7954,7954,kind,27
5649,5649,great,27
6085,6085,help,27
9055,9055,little,27
19641,19641,yeah,27
13153,13153,project,27
14860,14860,say,27
9219,9219,look,27
8159,8159,know,27
16651,16651,talk,27
16,16,able,27
2335,2335,come,27
14480,14480,right,27
19367,19367,work,27
11307,11307,okay,27
16497,16497,sure,27
13505,13505,reach,27
251,251,actually,27
9632,9632,maybe,27
15241,15241,service,27
18785,18785,want,27
8898,8898,let,26
16873,16873,tell,26
18155,18155,try,26
6597,6597,idea,26
4422,4422,exactly,26
13035,13035,program,26
9716,9716,mean,26
9057,9057,little bit,26
1331,1331,bit,26
9185,9185,long,26
3697,3697,don know,26
845,845,ask,26
10623,10623,need,26
15177,15177,sense,25
6411,6411,hospital,25
7011,7011,interested,25
2934,2934,course,25
2478,2478,community,25
10993,10993,northwestern,25
16215,16215,study,25
1475,1475,bring,25
3865,3865,downtown,25
1858,1858,center,25
9832,9832,medical,25
11086,11086,nucat,25
9480,9480,make,25
11765,11765,partner,24
7088,7088,interesting,24
15751,15751,sound,24
7609,7609,just kind,24
4133,4133,email,24
10365,10365,mm hmm,24
5845,5845,happen,24
3793,3793,don think,24
10364,10364,mm,24
6281,6281,hmm,24
13380,13380,question,24
16443,16443,support,24
4470,4470,example,24
1686,1686,care,24
15688,15688,sort,24
15289,15289,set,24
3406,3406,didn,24
6167,6167,helpful,24
4897,4897,feel,24
1738,1738,case,24
1588,1588,bye,24
1589,1589,bye bye,24
1265,1265,big,24
12637,12637,point,24
11859,11859,patient,24
18273,18273,understand,23
16937,16937,term,23
16286,16286,stuff,23
12330,12330,person,23
6683,6683,important,23
3818,3818,don want,23
11256,11256,offer,23
2214,2214,clinician,23
5568,5568,grant,23
568,568,alright,23
5259,5259,forward,23
10834,10834,new,23
1593,1593,bye end,23
5964,5964,health,23
1781,1781,cdh,23
16976,16976,thank,23
4214,4214,end recording,22
11691,11691,participate,22
12855,12855,pretty,22
9358,9358,love,22
11141,11141,nucats,22
12575,12575,place,22
8637,8637,know ve,22
3230,3230,definitely,22
11162,11162,number,22
15902,15902,staff,22
16813,16813,team,22
778,778,area,22
10190,10190,mention,22
3128,3128,datum,22
2902,2902,couple,22
4643,4643,experience,22
13666,13666,recording,22
5015,5015,figure,22
3621,3621,doesn,22
5898,5898,hard,21
9148,9148,location,21
10600,10600,nee,21
12944,12944,problem,21
4348,4348,especially,21
19328,19328,wonderful,21
12980,12980,process,21
8343,8343,know just,21
1909,1909,central,21
18081,18081,trial,21
5131,5131,focus,21
14309,14309,resource,21
1595,1595,bye end recording,21
1993,1993,change,21
7236,7236,involve,21
14763,14763,run,21
18340,18340,university,21
68,68,absolutely,21
1591,1591,bye bye end,21
5729,5729,group,21
15361,15361,share,21
